title,state,date,season,precip_type,number,temperature,dew_point,humidity,visibility,uv_index
Report 6643: Mother and son see sasquatch closeup from road,Rhode Island,1978-07-15,Summer,rain,6643,65.805,62.27,0.88,5.71,5
Report 16746: Possible stick formation found by hiker in the Great Swamp,Rhode Island,2006-11-03,Fall,NA,16746,39.75,25.24,0.57,10,3
NA,Alabama,NA,Winter,NA,43120,NA,NA,NA,NA,NA
Report 8999: Woman reports riverbank sighting,Montana,2004-03-14,Spring,NA,8999,40.55,25.41,0.55,9.91,3
Report 1695: Motorist sees long-haired upright animal walking across snow-covered road,Montana,1979-12-31,Winter,NA,1695,NA,NA,NA,NA,NA
Report 13383: Hunting guide recalls an encouter with a Bigfoot crouching behind a root ball in Bowls Creek,Montana,1991-10-11,Fall,rain,13383,48.745,28.09,0.61,10,4
Report 33257: Tow truck driver watches a creature drag an elk away from accident site south of Malta on Hwy. 191,Montana,2011-01-08,Winter,snow,33257,21.305,22.11,0.8,NA,0
"Report 1693: While scouting a timbered hill at 7000', hikers see a bipedal animal stand up & walk away",Montana,1989-05-20,Spring,NA,1693,NA,21.59,0.37,10,6
Report 1614: Young horseback rider has a face-to-face encounter in the Rattlesnake Wilderness Area,Montana,1977-07-14,Summer,NA,1614,60.265,39.06,0.55,10,9
Report 36281: Close daylight sighting by a fisherman near White Sulphur Springs,Montana,2010-05-29,Spring,rain,36281,39.525,33.15,0.85,NA,0
Report 30384: Cousins view a large biped figure on opening day near Virginia City,Montana,1978-10-21,Fall,NA,30384,NA,NA,NA,NA,NA
Report 10260: Four climbers report repeated vocalizations,Montana,1978-07-04,Summer,NA,10260,NA,NA,NA,NA,NA
Report 1530: Fly Fisherman sees a hairy bipedal creature while trout fishing,Montana,1977-08-16,Summer,NA,1530,64.545,43.53,0.53,10,8
"Report 63148: Possible Daylight Sighting near Tizer Lakes, reported by snowmobilers",Montana,2019-03-09,Winter,NA,63148,9.61,6.41,0.76,9.784,5
"Report 1518: Campers hear something ""running"" through camp & find very large footprints",Montana,1994-09-30,Fall,NA,1518,NA,NA,NA,NA,NA
Report 1517: Horse-riding witnesses see hairy bipedal animal cross trail on Blackfeet Reservation,Montana,1982-10-02,Fall,NA,1517,NA,NA,NA,NA,NA
"Report 1454: Three backpackers see a large, massive upright animal running on two legs through the brush in Gallatin Nat'l Forest",Montana,1993-06-03,Summer,NA,1454,NA,NA,NA,NA,NA
Report 21907: Possible sighting and wood knocks heard near Swan Lake,Montana,2010-03-20,Fall,NA,21907,41.2,15.6,0.48,10,0
Report 36759: Deer hunter on the Flathead Indian Reservation passes a tall biped on the roadside,Montana,2012-09-16,Fall,NA,36759,NA,NA,NA,NA,NA
Report 62969: Daylight sighting by motorist on Crane Mountain outside Kalispell,Montana,2019-06-12,Spring,rain,62969,64.795,47.04,0.62,9.997,10
Report 63362: Three field biologists describe possible sasquatch vocalizations outside Big Sky,Montana,1993-07-03,Spring,NA,63362,NA,NA,NA,NA,NA
Report 50297: Horse boarder hears possible vocalizations late at night west of Belgrade,Montana,2015-11-26,Summer,snow,50297,12.919999999999998,1.46,0.65,10,1
Report 51959: Possible tracks found along hiking trail outside Bozeman,Montana,2016-05-30,Spring,rain,51959,44.135000000000005,34.43,0.63,9.8,7
Report 12636: Video taken of running biped near Avalanche in Glacier National Park,Montana,2003-06-18,Summer,NA,12636,74.58,48.11,0.46,NA,0
Report 34024: After exploring old gold mines a rock is thrown at a moving vehicle near Georgetown,Montana,2010-10-22,Summer,NA,34024,37.735,28.51,0.82,NA,2
Report 1533: Motorist & passenger see white creature standing off I-15,Montana,1981-12-20,Winter,NA,1533,NA,NA,NA,NA,NA
Report 1519: Boys observe hairy man-like creature several times,Montana,1982-06-30,Summer,NA,1519,NA,NA,NA,NA,NA
Report 562: Hunting party reports frightening vocalization,Montana,1990-11-10,Fall,NA,562,NA,NA,NA,NA,NA
Report 5627: Woman reports afternoon sighting,Montana,1994-07-12,Summer,NA,5627,NA,NA,NA,NA,NA
Report 6170: Boy Scouts watch creature eating leaves along Dearborn River,Montana,2004-01-18,Summer,NA,6170,31.27,11.2,0.48,NA,0
NA,Montana,NA,Fall,NA,28230,NA,NA,NA,NA,NA
NA,Montana,NA,Spring,NA,48616,NA,NA,NA,NA,NA
Report 41782: Man-like figure seen running along a tree-line off Hwy. 12 near Checkerboard,Montana,2012-12-02,Winter,rain,41782,36.905,28.78,0.67,NA,0
Report 65664: Sighting by trucker on Hwy 90 at Lookout Pass outside Tammany,Montana,2020-04-15,Spring,rain,65664,30.455,25.9,0.72,6.992,3
Report 1649: Witnesses hear two powerful vocalizations near their property on the Flathead Reservation,Montana,1989-07-13,Summer,rain,1649,65.735,59.1,0.81,9.13,8
Report 9873: Woman reports sighting at the edge of backyard,Montana,2004-07-20,Summer,rain,9873,63.03,52.85,0.71,9.96,8
Report 10357: Two men report powerful vocalizations behind neighborhood,Montana,2005-01-23,Winter,NA,10357,41.635,29.04,0.58,6.19,2
Report 36727: Biologist observes a biped on a ridge outside Missoula,Montana,2006-09-13,Fall,NA,36727,59.615,32.79,0.36,7.21,6
NA,Montana,NA,Summer,NA,40170,NA,NA,NA,NA,NA
NA,Montana,NA,Spring,NA,34899,NA,NA,NA,NA,NA
Report 40412: Morning hike turns a veterinarian and her family into believers near Missoula,Montana,2012-07-20,Summer,rain,40412,66.63,44.8,0.44,NA,5
"Report 59607: Campers describe stalking, rock-throwing and snapped trees in Lolo National Forest",Montana,2018-06-19,Summer,rain,59607,50.39,47.5,0.93,9.997,6
Report 2995: A van driver and passenger observe a large animal walking,Montana,2001-08-22,Summer,NA,2995,71.25999999999999,38.31,0.38,9.66,8
Report 21839: Trucker couple report daytime road-crossing sighting near Sula,Montana,2005-09-20,Fall,NA,21839,56.364999999999995,27.57,0.35,NA,0
Report 1700: Witnesses hear unusual screams while hunting & note local Indian stories regarding Bigfoot,Montana,1984-10-27,Fall,NA,1700,NA,NA,NA,NA,NA
Report 63381: Daylight sighting by motorists near the Flathead River,Montana,2017-12-01,Winter,NA,63381,27.83,26.47,0.96,9.931,1
"Report 1208: Vocalizing, smelly animal circles cabin",Montana,1982-03-14,Spring,NA,1208,NA,NA,NA,NA,NA
Report 36008: Photograph taken of a figure sitting by a creek outside Red Lodge,Montana,2012-06-30,Summer,NA,36008,68.645,38.88,0.35,NA,0
Report 37974: Elk hunter finds large bi-pedal tracks on Mount Baldy,Montana,2012-11-24,Winter,NA,37974,30.65,23.73,0.67,NA,0
Report 17292: Late night sighting by motorist near Decker Montana,Montana,2007-01-15,Winter,NA,17292,21.105,1.63,0.51,10,1
Report 40524: Photo taken of a possible print near Lake Esler and memory told of a daylight sighting near Deerhead Lake,Montana,2012-06-24,Fall,NA,40524,61.864999999999995,26.02,0.29,10,11
Report 3439: Young boy startles creature under house porch.,North Carolina,1971-10-01,Unknown,NA,3439,NA,NA,NA,NA,NA
Report 7246: Hunter has daytime sighting near Shocco Creek,North Carolina,1983-11-15,Fall,rain,7246,NA,52.14,0.96,4.56,2
Report 58022: Mother and daughter see 9' tall white-furred creature while camping in Pisgah NF outside Brevard.,North Carolina,2011-09-10,Fall,NA,58022,65.44,53.1,0.63,9.926,8
Report 4763: Hikers find footprint in Great Smoky Mountains National Park.,North Carolina,1975-07-12,Summer,NA,4763,NA,NA,NA,NA,NA
Report 10776: Mother and daughter find footprints in their front yard in Pilot Mountain.,North Carolina,1999-01-16,Winter,rain,10776,43.825,21.4,0.48,10,3
Report 19015: Possible vocalization and approach to tents reported by campers on private land near Pilot Mountain,North Carolina,2007-05-10,Winter,NA,19015,71.3,58.29,0.7,9.61,8
"Report 3337: Woman witnesses a 7 foot tall, silver-black sasquatch while driving",North Carolina,1994-11-30,Fall,NA,3337,NA,NA,NA,NA,NA
Report 6267: Two young men are confronted in broad daylight by a large creature near Falcon,North Carolina,1976-11-15,Fall,rain,6267,37.77,37.81,0.95,2.63,2
Report 14801: Daylight sighting by fishermen on Broad River,North Carolina,1991-03-15,Spring,NA,14801,45.875,31.02,0.63,10,7
Report 49977: Motorist has a nighttime sighting on I-95 near Rowland,North Carolina,2015-10-13,Fall,NA,49977,68.08,60.74,0.77,10,6
Report 26013: Deer hunter finds possible footprint near Ellerbe,North Carolina,2008-10-18,Fall,rain,26013,53.02,48.72,0.8,9.4,4
"Report 3338: Long trail of 13"" long human-like footprints found in deep snow and rough terrain",North Carolina,1998-01-05,Winter,NA,3338,NA,NA,NA,NA,NA
NA,North Carolina,NA,Winter,NA,48224,NA,NA,NA,NA,NA
Report 64024: YESTERDAY motorists in Smoky Mts. observe a Bigfoot along Little Tennessee River,North Carolina,2020-01-31,Winter,rain,64024,40.155,38.05,0.89,9.23,2
Report 27908: Man recalls his 1978 close encounter with a large hair covered creature in Wilkesboro,North Carolina,1978-08-24,Summer,NA,27908,NA,NA,NA,NA,NA
"Report 67749: Deer hunter sees tree shaking, then see the large shaker, outside Wilkesboro",North Carolina,2019-11-18,Winter,rain,67749,42.129999999999995,42.19,0.94,7.854,2
"Report 13378: Menacing commotion at night, tracks in snow the next morning, out Yadkinville",North Carolina,1976-12-12,Winter,rain,13378,NA,51.44,0.99,1.54,1
Report 42580: Motorists have a possible late night sighting outside Seagrove,North Carolina,2012-08-17,Summer,rain,42580,76.49000000000001,65.77,0.8,8.57,9
Report 67582: Likely Sasquatch activity around farm property near Green River gamelands,North Carolina,2011-10-04,Fall,NA,67582,59.26,43.42,0.58,9.997,7
Report 8804: Man has afternoon sighting and finds scat on his property near Flat River,North Carolina,1997-11-15,Fall,rain,8804,41.739999999999995,33.19,0.62,10,3
Report 3336: Person awakes to a 'howling' or 'wailing' sound just outside the house; he compares the sound to a recorded howl of a bigfoot,North Carolina,1998-03-31,Spring,rain,3336,73.78999999999999,62.1,0.75,9.53,7
"Report 3335: Deer hunter witnesses a large, gorilla like animal",North Carolina,1982-10-01,Fall,rain,3335,NA,58.11,0.8,3.86,4
Report 9212: Rural residents disturbed by nighttime activity near Buffalo Creek,North Carolina,2004-05-12,Spring,NA,9212,72.28,62.33,0.74,9.16,8
Report 1939: Youth's presence startles unknown animal,North Carolina,1965-10-01,Fall,rain,1939,75.63,68.9,0.79,5.89,4
Report 26076: Woman recalls watching a bigfoot cross the road while riding with her mother near Rocky Mount,North Carolina,1979-07-18,Unknown,NA,26076,NA,NA,NA,NA,NA
Report 450: Possible vocalizations heard by campers on the Blueridge Parkway,North Carolina,2000-09-09,Fall,rain,450,66.1,61.48,0.84,6.58,8
NA,North Carolina,NA,Fall,NA,24988,NA,NA,NA,NA,NA
Report 3333: Large creature turned and stared at couple,North Carolina,1973-10-01,Fall,NA,3333,NA,NA,NA,NA,NA
Report 4676: Nighttime sighting by a man and his sister on road near Smithfield.,North Carolina,2002-07-14,Summer,rain,4676,78.99000000000001,71.11,0.82,7.1,6
Report 12333: Possible vocalization in the Blue Ridge Mountains,North Carolina,2005-07-02,Summer,NA,12333,70.4,63.82,0.84,6.49,7
NA,North Carolina,NA,Summer,NA,23615,NA,NA,NA,NA,NA
Report 30735: Hunter in tree stand recalls startling early morning observation near Ft. Bragg,North Carolina,1995-10-14,Fall,rain,30735,69.28999999999999,70.33,0.87,6.1,4
NA,North Carolina,NA,Summer,NA,44354,NA,NA,NA,NA,NA
Report 14075: Camper describes possible vocalization and rock throwing outside Franklin.,North Carolina,2002-12-07,Winter,snow,14075,34.82,27.25,0.82,NA,0
NA,North Carolina,NA,Summer,NA,50721,NA,NA,NA,NA,NA
Report 49148: Appalachian Trail Hikers find possible tracks and hear a late night howl near Franklin,North Carolina,2015-06-29,Summer,rain,49148,81.985,72.41,0.79,NA,11
Report 13492: Family describes incidents in Pisgah Nat. Forest ;  NC-06 Exped notes,North Carolina,2005-07-05,Summer,rain,13492,75.445,68.48,0.77,NA,0
Report 32447: Possible vocal interaction with children playing at dusk near Hot Springs,North Carolina,2012-01-22,Winter,NA,32447,46.73,42.06,0.87,6.61,2
Report 30757: Driver & passenger observe late night road crossing near Spruce Pine,North Carolina,2009-09-30,Fall,NA,30757,52.86,45.01,0.76,9.58,7
Report 63252: Ongoing incidents in North Cove outside Asheville,North Carolina,2016-12-24,Winter,rain,63252,55.135000000000005,40.34,0.68,9.748,2
Report 15492: Road-crossing sighting by motorist on Hwy 220 north of Candor,North Carolina,1990-06-30,Summer,NA,15492,NA,NA,NA,NA,NA
Report 8983: Campers have morning sighting in Uwharrie National Forest,North Carolina,2004-06-12,Summer,rain,8983,72.07,68.03,0.81,8.1,6
Report 27906: Unknown early morning visitor heard by a youth leader in the Uwharrie National Forest,North Carolina,2010-12-04,Winter,rain,27906,34.595,29.87,0.83,7.81,3
Report 41040: Campers awakened by heavy bipedal footsteps in Uwharrie National Forest,North Carolina,2011-10-24,Fall,NA,41040,58.395,46.37,0.73,8.93,5
Report 67540: Gold panner reports rocks thrown in frequent sighting zone within Uwharrie National Forest,North Carolina,2014-04-15,Spring,rain,67540,51.67,57.89,0.86,9.33,5
Report 47026: Camper is subjected to possible intimidation behavior in the Uwharrie National Forest,North Carolina,2014-11-08,Fall,NA,47026,48.7,36.87,0.77,10,4
Report 49906: Morning hiker hears possible knocks and strange vocals in the Uwharrie National Forest,North Carolina,2015-09-24,Summer,rain,49906,68.47,58.32,0.76,10,6
Report 50074: Possible encounter scares a camper from his hammock while in the Uwharrie National Forest,North Carolina,2015-10-25,Fall,NA,50074,66.765,59,0.83,10,5
Report 65677: Road crossing sighting on Hwy 109 near Mt. Gilead and Uwharrie National Forest,North Carolina,2020-06-18,Summer,rain,65677,71.655,63.77,0.84,9.814,8
NA,North Carolina,NA,Winter,NA,39855,NA,NA,NA,NA,NA
Report 31303: Early morning traveler recalls roadway sighting near Holly Ridge,North Carolina,1983-10-02,Fall,NA,31303,70.80000000000001,60.17,0.71,6.25,6
"Report 3334: Man hits 7 foot tall, reddish-brown creature with his car, then is pursued by the creature",North Carolina,1987-07-15,Summer,rain,3334,74.615,70.19,0.84,5.68,6
Report 9750: Motorist observes bipedal animal shaking a pecan tree near Camp LeJeune.,North Carolina,1999-07-16,Summer,rain,9750,77.67500000000001,70.43,0.81,8.85,10
Report 24334: While training a U.S. Marine witnesses a large creature near Camp LeJuene,North Carolina,2005-02-10,Winter,rain,24334,44.405,38.15,0.62,6.78,3
NA,North Carolina,NA,Fall,NA,32444,NA,NA,NA,NA,NA
NA,North Carolina,NA,Summer,NA,30438,NA,NA,NA,NA,NA
NA,North Carolina,NA,Winter,NA,39279,NA,NA,NA,NA,NA
Report 3332: Motorist slams on his brakes when a 4-5' brown shaggy creature steps in front of his car near Hendersonville,North Carolina,1983-04-15,Spring,rain,3332,46.364999999999995,45.76,0.82,8.08,6
Report 12640: Possible vocalization in Great Smoky Mountain National Park,North Carolina,2005-12-02,Fall,NA,12640,34.07,19.8,0.58,NA,0
Report 6960: Early morning vocalizations heard near Rainbow Creek,North Carolina,1968-10-16,Fall,rain,6960,72.92,65.82,0.86,5.63,3
NA,North Carolina,NA,Summer,NA,26299,NA,NA,NA,NA,NA
Report 7393: Teenage boys have sighting at night near Lake Myers,North Carolina,1977-08-15,Summer,rain,7393,NA,71.85,0.73,8.56,6
Report 15520: Possible vocalizations heard periodically over the years outside Lexington,North Carolina,1998-11-15,Fall,NA,15520,55.07,48.84,0.78,6.93,3
"Report 18680: Soldier on maneuvers finds large, human-like footprints at Fort Bragg",North Carolina,1989-08-09,Summer,rain,18680,67.91,59.18,0.72,6.57,5
Report 33358: Military officer recalls possible daylight sighting while driving in the Croatan National Forest,North Carolina,1977-05-21,Spring,rain,33358,74.505,63.24,0.74,6.35,7
"Report 3331: While out trout fishing, father and son come across one big footprint in the sand",North Carolina,1998-09-09,Fall,rain,3331,59.28,42.42,0.53,9.96,8
"Report 9218: Just after sundown, driver has sighting close to Carter Mountain",North Carolina,1986-09-16,Fall,NA,9218,66.77,59.4,0.84,7.25,5
Report 13663: Daylight sighting by hunters near Windsor,North Carolina,1989-11-11,Fall,NA,13663,NA,NA,NA,NA,NA
Report 29024: Daylight sighting of a bipedal animal by a motorist near Linville,North Carolina,2010-11-09,Fall,NA,29024,53.185,27.55,0.36,10,4
Report 2149: Park Rangers and residents of Glendale Springs observe large footprints in deep snow,North Carolina,1987-03-22,Winter,NA,2149,NA,NA,NA,NA,NA
Report 41508: Motorist observes large hairy biped in the late afternoon near Taylorsville,North Carolina,2013-06-12,Summer,NA,41508,79.62,67.43,0.77,9.29,11
Report 43204: Possible early evening sighting while driving by a vineyard near Taylorsville,North Carolina,2013-10-18,Fall,NA,43204,60.58,52.22,0.81,8.89,4
Report 24264: Possible howls heard in the Three Top Mountain area,North Carolina,2008-07-21,Summer,NA,24264,73.9,64.06,0.72,8.87,9
Report 28381: Campers hear multiple whooping sounds at Linville Falls,North Carolina,2011-06-17,Spring,NA,28381,68.63,57.32,0.8,9.59,11
Report 15108: Adult recounters childhood sighting on Black Mountain,North Carolina,1991-11-17,Fall,NA,15108,50.04,45.01,0.88,5.36,2
Report 69464: Large trees shaking 15 miles SW of Asheville,North Carolina,2016-06-15,Spring,rain,69464,75.13,68.59,0.85,8.727,7
Report 3270: Two experienced campers hear vocalizations unlike any thay are familiar with,North Carolina,2001-10-20,Fall,rain,3270,58.77,42.79,0.65,9.05,5
Report 41506: Fisherman reports possible sightings and activity around Lake James,North Carolina,2013-06-26,Summer,rain,41506,77.71000000000001,66.27,0.74,8.92,10
Report 10608: Deer hunter watches large upright walking animal on Butler Knob.,North Carolina,1972-11-18,Winter,NA,10608,NA,NA,NA,NA,NA
Report 15554: Man describes his wife's observation of a very tall figure outside their home near King's Mountain,North Carolina,2006-08-17,Summer,NA,15554,74.065,65.13,0.69,7.97,9
Report 18516: Daylight sighting by farmer (and children) plowing field next to the Yadkin River,North Carolina,2007-04-09,Fall,NA,18516,43.08,20.68,0.44,10,9
Report 18943: Possible pre-dawn approach to property outside Winston-Salem,North Carolina,2007-05-03,Spring,rain,18943,60.41,56.24,0.78,8.57,6
Report 42999: Law Enforcement Officer observes large figure along river bank while hunting for deer near Pin Hook,North Carolina,2011-11-19,Fall,NA,42999,56.805,40.21,0.77,9.96,3
Report 69433: Possible Sasquatch wood knocks heard near Masonic Monument along Blue Ridge Parkway,North Carolina,2019-07-15,Spring,rain,69433,67.48,63.58,0.92,7.758,10
Report 69269: Possible sighting of a Sasquatch on Blue Ridge Parkway at overlook near Masonic Monument,North Carolina,2021-05-30,Spring,rain,69269,51.86,44.3,0.82,9.77,6
"Report 2054: Tracks found before Christmas, near Hendersonville",North Carolina,2000-12-19,Winter,snow,2054,20.855,19.77,0.76,5.8,2
Report 31994: Late night sighting by boy walking near Mills River,North Carolina,2009-07-20,Summer,NA,31994,68.03,56.63,0.73,9.96,7
Report 8165: Rash of sighting reports from multiple witnesses,North Dakota,2004-02-22,Winter,snow,8165,26.28,24.78,0.94,NA,0
Report 12562: Multiple witness sighting near White Shield,North Dakota,2005-08-27,Summer,NA,12562,60.489999999999995,48.76,0.7,NA,0
Report 8130: Tribal government employee photographs line of tracks in snow,North Dakota,2004-02-26,Winter,snow,8130,35.21,30.5,0.97,NA,0
"Report 6410: Multiple witness sighting at night, 3 miles east of Mead, Nebraska",Nebraska,1979-07-04,Summer,rain,6410,68.19,66.13,0.84,6.61,5
Report 7809: Teen has nighttime sighting near Fontenelle Forest,Nebraska,2005-01-06,Summer,snow,7809,8.595,1.68,0.82,8.21,2
Report 28090: Motorist has possible night time sighting near Dorchester,Nebraska,1997-10-15,Fall,NA,28090,52.025,43.8,0.74,10,4
Report 1155: Newspaper account of an encounter with an unknown creature near Salt Creek,Nebraska,1980-06-30,Unknown,NA,1155,85.15,61.13,0.54,10,10
Report 1152: Hunter has evening sighting near Bazile Creek State Wildlife Management Area.,Nebraska,1979-09-15,Fall,NA,1152,NA,NA,NA,NA,NA
Report 15615: Creature seen walking across pasture in daylight north of Grand Island,Nebraska,2008-08-15,Winter,NA,15615,68.735,59.93,0.72,10,8
NA,Nebraska,NA,Fall,NA,20870,NA,NA,NA,NA,NA
Report 1149: Late Afternoon sighting by motorist near Blue Springs,Nebraska,1974-09-30,Fall,rain,1149,NA,28.82,0.42,10,6
Report 12482: Various sightings by residents near the Missouri River,Nebraska,2005-08-13,Summer,rain,12482,64.935,62.29,0.8,9.7,8
Report 25241: Nighttime sighting by a motorist on a road south of Crawford,Nebraska,1996-07-05,Summer,rain,25241,NA,54.97,0.4,10,8
Report 22577: Three witnesses encounter a large creature while walking down a gravel road outside South Sioux City,Nebraska,1998-09-15,Fall,NA,22577,68.75,58.41,0.68,9.93,6
"Report 25012: Woman recalls an encounter as a child, in an alley in the town of Valentine",Nebraska,1957-09-18,Unknown,NA,25012,NA,NA,NA,NA,NA
Report 69143: Dog walker reports being paralled at night along dirt road near Sunrise Lake,New Hampshire,2000-10-15,Fall,NA,69143,53.855,44.33,0.58,10,3
Report 9313: Vocalizations heard near Rockingham,New Hampshire,2004-09-12,Summer,NA,9313,65.595,52.61,0.78,8.82,6
NA,New Hampshire,NA,Summer,NA,48940,NA,NA,NA,NA,NA
Report 23046: Three witnesses observe large creature run in front of them while parked in Red Cloud State Park,Nebraska,2003-09-15,Fall,NA,23046,64.095,34.68,0.46,10,7
Report 16432: Possilble daylight sighting by hikers (at 300-400 yds.) in Chadron State Park,Nebraska,2006-10-29,Fall,NA,16432,50.635000000000005,20.9,0.39,5.46,3
NA,New Hampshire,NA,Summer,NA,6623,NA,NA,NA,NA,NA
NA,New Hampshire,NA,Unknown,NA,1192,NA,NA,NA,NA,NA
NA,New Hampshire,NA,Summer,NA,6668,NA,NA,NA,NA,NA
NA,New Hampshire,NA,Summer,NA,26113,NA,NA,NA,NA,NA
"Report 2750: Driving along a secluded road at night, couple's car almost strikes creature crossing road",New Jersey,2004-04-23,Summer,rain,2750,52.1,50.05,0.82,9.77,4
Report 13310: Possible sighting near Supawna Meadows National Wildlife Refuge,New Jersey,2006-02-01,Spring,NA,13310,36.795,25.53,0.58,10,2
Report 38762: Woman recalls seeing something strange cross the road while driving at dusk near Ringwood,New Jersey,1979-08-15,Summer,NA,38762,62.91,48.98,0.59,10,7
NA,New Jersey,NA,Spring,NA,6186,NA,NA,NA,NA,NA
Report 66051: Youths have evening encounter near Allaire State Park,New Jersey,1981-09-04,Fall,NA,66051,66.03999999999999,60.38,0.8,4.38,4
NA,New Jersey,NA,Summer,NA,1452,NA,NA,NA,NA,NA
Report 22905: Man recalls sighting as a young boy on his way to go fishing in John A. Roebling Park near Bordentown,New Jersey,1977-06-03,Spring,NA,22905,60.595,43.3,0.49,9.51,9
NA,New Jersey,NA,Summer,NA,459,NA,NA,NA,NA,NA
"Report 10046: Small group observed in a remote part of Essex County Swamp, around noon.",New Jersey,1971-10-16,Fall,NA,10046,65.565,59.41,0.89,1.68,4
NA,New Jersey,NA,Spring,NA,4273,NA,NA,NA,NA,NA
Report 16604: Possible sighting by motorist at dusk outside Livingston,New Jersey,2006-12-17,Spring,NA,16604,53.195,32.63,0.64,10,2
Report 20608: Late night vocalization heard by fishermen north of Flemington,New Jersey,2008-09-04,Summer,NA,20608,77.72,63.4,0.68,8.05,8
Report 2271: Night time sighting by New Brunswick resident near Lawrence Brook,New Jersey,2005-12-11,Fall,snow,2271,32.735,22.96,0.77,7.05,2
NA,New Jersey,NA,Summer,NA,16308,NA,NA,NA,NA,NA
"Report 12065: Group observes animal in daylight, one mile from Federal Hill near Riverdale",New Jersey,2005-12-10,Spring,snow,12065,27,17.88,0.68,9.52,2
